id,title,category,continent,start_year,end_year,description,start_date,end_date,lat,lon,location_label,geometry,location_confidence
hadean-eon,Hadean Eon,era,Global,-4600000000,-4000000000,"Earliest eon of Earth history, before a stable crust formed.",,,,,,,exact
archean-eon,Archean Eon,era,Global,-4000000000,-2500000000,Eon when Earth's crust cooled and the first known life appeared.,,,,,,,exact
proterozoic-eon,Proterozoic Eon,era,Global,-2500000000,-541000000,Eon marked by oxygenation of the atmosphere and early multicellular life.,,,,,,,exact
phanerozoic-eon,Phanerozoic Eon,era,Global,-541000000,0,"Eon of abundant animal and plant life, from Cambrian to present.",,,,,,,exact
cambrian-explosion,Cambrian explosion,era,Global,-541000000,-520000000,Rapid diversification of most major animal groups in the fossil record.,,,,,,,exact
permian-triassic-extinction,Permian–Triassic extinction,era,Global,-252000000,-251000000,"Largest known mass extinction, eliminating most marine and many terrestrial species.",,,,,,,exact
dinosaur-extinction,End-Cretaceous extinction,era,Global,-66000000,-65000000,Mass extinction that wiped out non-avian dinosaurs and many other groups.,,,,,,,exact
first-hominins,Early hominins,dicovery,Africa,-7000000,-4000000,Earliest human-lineage species appearing in Africa.,,,,,,,exact
neanderthals,Neanderthals in Eurasia,dicovery,Europe,-400000,-40000,Widespread Neanderthal populations across Europe and western Asia.,,,,,,,exact
holocene,Holocene epoch,era,Global,-11700,2025,Current interglacial epoch following the last Ice Age.,,,,,,,exact
austronesian-expansion,Austronesian expansion,dicovery,Oceania,-3000,1200,Spread of seafaring Austronesian-speaking peoples across the Pacific and Indian Oceans.,,,,,,,exact
old-kingdom-egypt,Old Kingdom Egypt,era,Africa,-2700,-2200,Period of pyramid building and centralized pharaonic rule along the Nile.,,,,,,,exact
indus-valley,Indus Valley Civilization,civilization,Asia,-2600,-1900,Urban Bronze Age civilization in the Indus River basin.,,,,,,,exact
akkadian-empire,Akkadian Empire,empire,Asia,-2334,-2154,Early Mesopotamian empire founded by Sargon of Akkad.,,,,,,,exact
middle-kingdom-egypt,Middle Kingdom Egypt,era,Africa,-2050,-1650,Reunified Egyptian state with renewed cultural and political strength.,,,,,,,exact
minoans,Minoan civilization,civilization,Europe,-2000,-1450,Bronze Age civilization on Crete with palaces such as Knossos.,,,,,,,exact
call-of-abraham,Call of Abraham,religion,Middle East,-1800,-1800,Traditional date for the call of Abraham and the beginnings of a covenant lineage.,,,,,,,exact
new-kingdom-egypt,New Kingdom Egypt,era,Africa,-1550,-1070,Imperial age of Egypt with expansion into Levant and Nubia.,,,,,,,exact
exodus-egypt,Exodus from Egypt (traditional),religion,Middle East,-1250,-1250,Traditional dating of the religion Exodus narrative.,,,,,,,exact
bantu-expansion,Bantu expansion,discovery,Africa,-1000,1500,Gradual migration of Bantu-speaking peoples across sub-Saharan Africa.,,,,,,,exact
davidic-kingdom,Davidic kingdom in Israel,civilization,Middle East,-1000,-960,Approximate period associated with the reign of King David.,,,,,,,exact
rise-of-the-hebrew-kingdoms,Rise of the Hebrew kingdoms,civilization,Middle East,-1000,-600,"Israelite and Judahite kingdoms consolidate in the Levant, forming the historical backdrop for much of the Hebrew Bible.",,,,,,,exact
first-temple,First Temple period,religion,Middle East,-960,-586,Era of the Temple of Solomon in Jerusalem.,,,,,,,exact
neo-assyrian-empire,Neo-Assyrian Empire,empire,Asia,-911,-612,Powerful empire dominating the Near East with military campaigns.,,,,,,,exact
rise-of-greek-city-states,Rise of Greek city-states,civilization,Europe,-800,-500,"Independent Greek poleis like Athens and Sparta emerge, pioneering Western politics, art, and philosophy.",,,,,,,exact
founding-of-rome,Founding of Rome,civilization,Europe,-753,-753,"Traditional date of Rome’s founding, marking the rise of a city that will dominate the Mediterranean.",,,,,,,exact
homeric-epics-codified,Homeric epics codified,culture,Europe,-750,-700,"Oral traditions like the Iliad and Odyssey are written down, shaping Greek identity, religion, and literature.",,,,,,,exact
babylonian-exile,Babylonian Exile,civilization,Middle East,-586,-538,Period after destruction of the First Temple when many Judeans were exiled.,,,,,,,exact
Siddhartha-Gautama-birth-of-buddhism,Birth of Buddhism,people,Asia,-563,-483,"Siddhartha Gautama teaches a path to enlightenment in northern India, giving rise to the Buddhist tradition.",,,,,,,exact
confucius-and-confucianism,Confucius and Confucianism,people,Asia,-551,-479,Confucius articulates an ethical and political philosophy that will guide East Asian societies for centuries.,,,,,,,exact
achaemenid-persia,Achaemenid Persian Empire,empire,Asia,-550,-330,"Empire stretching from the Aegean to the Indus under rulers like Cyrus and Darius.  The Achaemenid Empire links Egypt, Mesopotamia, and Iran under an efficient imperial administration and road network.",,,,,,,exact
stoicism,Stoicism,Culture,Europe,-300,200,"Stoicism is an ancient Greek/Roman philosophy focused on living virtuously (with Wisdom, Courage, Justice, Temperance) by mastering your mind, accepting what you can't control (like external events) and focusing on your own reactions, leading to inner peace, resilience, and a good life, not emotional numbness, but clear-headed strength",,,,,,,exact
athenian-democracy-established,Athenian democracy established,civilization,Europe,-508,-322,"Athens develops an unprecedented citizen assembly system, becoming a reference point for later democratic experiments.",,,,,,,exact
classical-greece,Classical Greek city-states,civilization,Europe,-500,-323,"Era of Athens, Sparta, and other poleis with major cultural achievements.",,,,,,,exact
greco-persian-wars,Greco-Persian Wars,conflicts,Europe,-499,-449,"Greek city-states repel massive Persian invasions, preserving their independence and reshaping Mediterranean power balances.",,,,,,,exact
life-of-socrates,Life of Socrates,people,Europe,-469,-399,"Socrates challenges Athenian norms through relentless questioning, laying foundations for Western philosophical inquiry.",,,,,,,exact
peloponnesian-war,Peloponnesian War,conflicts,Europe,-431,-404,Prolonged conflict between Athens and Sparta and their allies.,,,,,,,exact
